year,temp
2224,-0.558397947111
2225,-0.542051883229
2226,-0.525391066607
2227,-0.508415497246
2228,-0.491125175145
2229,-0.473520100304
2230,-0.455600272724
2231,-0.437365692404
2232,-0.418816359344
2233,-0.3999067218
2234,-0.380363469306
2235,-0.360141050118
2236,-0.339239464236
2237,-0.317658711659
2238,-0.295398792388
2239,-0.272459706423
2240,-0.248841453763
2241,-0.224544034409
2242,-0.19956744836
2243,-0.173911695617
2244,-0.14757677618
2245,-0.120562690049
2246,-0.0928694372228
2247,-0.0644970177026
2248,-0.035445431488
2249,-0.00571467857913
2250,0.0246952410241
2251,0.0557843273217
2252,0.0875525803137
2253,0.12
2254,0.153126586381
2255,0.186932339456
2256,0.221417259225
2257,0.256581345689
2258,0.292424598847
2259,0.328947018699
2260,0.366148605246
2261,0.404029358487
2262,0.442589278422
2263,0.481828365052
2264,0.521746618376
2265,0.562344038395
2266,0.603620625108
2267,0.645576378515
2268,0.688211298616
2269,0.731525385412
2270,0.775518638902
2271,0.820191059087
2272,0.865542645966
2273,0.9096446891
2274,0.950568478049
2275,0.988314012815
2276,1.0228812934
2277,1.05427031979
2278,1.08248109201
2279,1.10751361003
2280,1.12936787388
2281,1.14804388354
2282,1.16354163901
2283,1.1758611403
2284,1.18500238741
2285,1.19096538033
2286,1.19375011907
2287,1.19335660363
2288,1.189784834
2289,1.18303481018
2290,1.17310653218
2291,1.16
2292,1.14371521363
2293,1.12425217308
2294,1.10161087835
2295,1.07579132943
2296,1.04679352632
2297,1.01461746903
2298,0.97926315756
2299,0.940730591903
2300,0.899019772061
2301,0.854130698036
2302,0.806063369826
2303,0.754817787431
2304,0.700393950853
2305,0.64279186009
2306,0.582011515143
2307,0.518052916012
2308,0.450916062696
2309,0.380600955197
2310,0.307107593512
2311,0.230435977644
2312,0.153062181888
2313,0.0774622805388
2314,0.00363627359782
2315,-0.0684158389353
2316,-0.138694057061
2317,-0.207198380778
2318,-0.273928810088
2319,-0.338885344989
2320,-0.402067985483
2321,-0.463476731569
2322,-0.523111583248
2323,-0.580972540518
2324,-0.637059603381
2325,-0.691372771836
2326,-0.743912045883
2327,-0.794677425522
2328,-0.843668910753
2329,-0.890886501577
2330,-0.936330197992
2331,-0.98
2332,-1.0218959076
2333,-1.06201792079
2334,-1.10036603958
2335,-1.13694026395
2336,-1.17174059392
2337,-1.20476702948
2338,-1.23601957064
2339,-1.26549821738
2340,-1.29320296972
2341,-1.31913382765
2342,-1.34329079117
2343,-1.36567386028
2344,-1.38628303499
2345,-1.40511831529
2346,-1.42217970118
2347,-1.43746719266
2348,-1.45098078973
2349,-1.4627204924
2350,-1.47268630066
2351,-1.48087821451
2352,-1.48729623396
